,municipios_ibge
1912,2906899
1913,2906907
1914,2907004
1915,2907103
1916,2907202
1917,2907301
1918,2907400
1919,2907509
1920,2907558
1921,2907608
1922,2907707
1923,2907806
1924,2907905
1925,2908002
1926,2908101
1927,2908200
1928,2908309
1929,2908408
1930,2908507
1931,2908606
1932,2908705
1933,2908804
1934,2908903
1935,2909000
1936,2909109
1937,2909208
1938,2909307
1939,2909406
1940,2909505
1941,2909604
1942,2909703
1943,2909802
1944,2909901
1945,2910008
1946,2910057
1947,2910107
1948,2910206
1949,2910305
1950,2910404
1951,2910503
1952,2910602
1953,2910701
1954,2910727
1955,2910750
1956,2910776
1957,2910800
1958,2910859
1959,2910909
1960,2911006
1961,2911105
1962,2911204
1963,2911253
1964,2911303
1965,2911402
1966,2911501
1967,2911600
1968,2911659
1969,2911709
1970,2911808
1971,2911857
1972,2911907
1973,2912004
1974,2912103
1975,2912202
1976,2912301
1977,2912400
1978,2912509
1979,2912608
1980,2912707
1981,2912806
1982,2912905
1983,2913002
1984,2913101
1985,2913200
1986,2913309
1987,2913408
1988,2913457
1989,2913507
1990,2913606
1991,2913705
1992,2913804
1993,2913903
1994,2914000
1995,2914109
1996,2914208
1997,2914307
1998,2914406
1999,2914505
2000,2914604
2001,2914653
2002,2914703
2003,2914802
2004,2914901
2005,2915007
2006,2915106
2007,2915205
2008,2915304
2009,2915353
2010,2915403
2011,2915502
2012,2915601
2013,2915700
2014,2915809
2015,2915908
2016,2916005
2017,2916104
2018,2916203
2019,2916302
2020,2916401
2021,2916500
2022,2916609
2023,2916708
2024,2916807
2025,2916856
2026,2916906
2027,2917003
2028,2917102
2029,2917201
2030,2917300
2031,2917334
2032,2917359
2033,2917409
2034,2917508
2035,2917607
2036,2917706
2037,2917805
2038,2917904
2039,2918001
2040,2918100
2041,2918209
2042,2918308
2043,2918357
2044,2918407
2045,2918456
2046,2918506
2047,2918555
2048,2918605
2049,2918704
2050,2918753
2051,2918803
2052,2918902
2053,2919009
2054,2919058
2055,2919108
2056,2919157
2057,2919207
2058,2919306
2059,2919405
2060,2919504
2061,2919553
2062,2919603
2063,2919702
2064,2919801
2065,2919900
2066,2919926
2067,2919959
2068,2920007
2069,2920106
2070,2920205
2071,2920304
2072,2920403
2073,2920452
2074,2920502
2075,2920601
2076,2920700
2077,2920809
2078,2920908
2079,2921005
2080,2921054
2081,2921104
2082,2921203
2083,2921302
2084,2921401
2085,2921450
2086,2921500
2087,2921609
2088,2921708
2089,2921807
2090,2921906
2091,2922003
2092,2922052
2093,2922102
2094,2922201
2095,2922250
2096,2922300
2097,2922409
2098,2922508
2099,2922607
2100,2922656
2101,2922706
2102,2922730
2103,2922755
2104,2922805
2105,2922854
2106,2922904
2107,2923001
2108,2923035
2109,2923050
2110,2923100
2111,2923209
2112,2923308
2113,2923357
2114,2923407
2115,2923506
2116,2923605
2117,2923704
2118,2923803
2119,2923902
2120,2924009
2121,2924058
2122,2924108
2123,2924207
2124,2924306
2125,2924405
2126,2924504
2127,2924603
2128,2924652
2129,2924678
2130,2924702
2131,2924801
2132,2924900
2133,2925006
2134,2925105
2135,2925204
2136,2925253
2137,2925303
2138,2925402
2139,2925501
2140,2925600
2141,2925709
2142,2925758
2143,2925808
2144,2925907
2145,2925931
2146,2925956
2147,2926004
2148,2926103
2149,2926202
2150,2926301
2151,2926400
2152,2926509
2153,2926608
2154,2926657
2155,2926707
2156,2926806
2157,2926905
2158,2927002
2159,2927101
2160,2927200
2161,2927309
2162,2927408
2163,2927507
2164,2927606
2165,2927705
2166,2927804
2167,2927903
2168,2928000
2169,2928059
2170,2928109
2171,2928208
2172,2928307
2173,2928406
2174,2928505
2175,2928604
2176,2928703
2177,2928802
2178,2928901
2179,2928950
2180,2929008
2181,2929057
2182,2929107
2183,2929206
2184,2929255
2185,2929305
2186,2929354
2187,2929370
2188,2929404
2189,2929503
2190,2929602
2191,2929701
2192,2929750
2193,2929800
2194,2929909
2195,2930006
2196,2930105
2197,2930154
2198,2930204
2199,2930303
2200,2930402
2201,2930501
2202,2930600
2203,2930709
2204,2930758
2205,2930766
2206,2930774
2207,2930808
2208,2930907
2209,2931004
2210,2931053
2211,2931103
2212,2931202
2213,2931301
2214,2931350
2215,2931400
2216,2931509
2217,2931608
2218,2931707
2219,2931806
2220,2931905
2221,2932002
2222,2932101
2223,2932200
2224,2932309
2225,2932408
2226,2932457
2227,2932507
2228,2932606
2229,2932705
2230,2932804
2231,2932903
2232,2933000
2233,2933059
2234,2933109
2235,2933158
2236,2933174
2237,2933208
2238,2933257
2239,2933307
2240,2933406
2241,2933455
2242,2933505
2243,2933604
2244,3100104
2245,3100203
2246,3100302
2247,3100401
2248,3100500
2249,3100609
2250,3100708
2251,3100807
2252,3100906
2253,3101003
2254,3101102
2255,3101201
2256,3101300
2257,3101409
2258,3101508
2259,3101607
2260,3101631
2261,3101706
2262,3101805
2263,3101904
2264,3102001
2265,3102050
2266,3102100
2267,3102209
2268,3102308
2269,3102407
2270,3102506
2271,3102605
2272,3102704
2273,3102803
2274,3102852
2275,3102902
2276,3103009
2277,3103108
2278,3103207
2279,3103306
2280,3103405
2281,3103504
2282,3103603
2283,3103702
2284,3103751
2285,3103801
2286,3103900
2287,3104007
2288,3104106
2289,3104205
2290,3104304
2291,3104403
2292,3104452
2293,3104502
2294,3104601
2295,3104700
2296,3104809
2297,3104908
2298,3105004
2299,3105103
2300,3105202
2301,3105301
2302,3105400
2303,3105509
2304,3105608
2305,3105707
2306,3105905
2307,3106002
2308,3106101
2309,3106200
2310,3106309
2311,3106408
2312,3106507
2313,3106606
2314,3106655
2315,3106705
2316,3106804
2317,3106903
2318,3107000
2319,3107109
2320,3107208
2321,3107307
2322,3107406
2323,3107505
2324,3107604
2325,3107703
2326,3107802
2327,3107901
2328,3108008
2329,3108107
2330,3108206
2331,3108255
2332,3108305
2333,3108404
2334,3108503
2335,3108552
2336,3108602
2337,3108701
2338,3108800
2339,3108909
2340,3109006
2341,3109105
2342,3109204
2343,3109253
2344,3109303
2345,3109402
2346,3109451
2347,3109501
2348,3109600
2349,3109709
2350,3109808
2351,3109907
2352,3110004
2353,3110103
2354,3110202
2355,3110301
2356,3110400
2357,3110509
2358,3110608
2359,3110707
2360,3110806
2361,3110905
2362,3111002
2363,3111101
2364,3111150
2365,3111200
2366,3111309
2367,3111408
2368,3111507
2369,3111606
2370,3111705
2371,3111804
2372,3111903
2373,3112000
2374,3112059
2375,3112109
2376,3112208
2377,3112307
2378,3112406
2379,3112505
2380,3112604
2381,3112653
2382,3112703
2383,3112802
2384,3112901
2385,3113008
2386,3113107
2387,3113206
2388,3113305
2389,3113404
2390,3113503
2391,3113602
2392,3113701
2393,3113800
2394,3113909
2395,3114006
2396,3114105
2397,3114204
2398,3114303
2399,3114402
2400,3114501
2401,3114550
2402,3114600
2403,3114709
2404,3114808
2405,3114907
2406,3115003
2407,3115102
2408,3115201
2409,3115300
2410,3115359
2411,3115409
2412,3115458
2413,3115474
2414,3115508
2415,3115607
2416,3115706
2417,3115805
2418,3115904
2419,3116001
2420,3116100
2421,3116159
2422,3116209
2423,3116308
2424,3116407
2425,3116506
2426,3116605
2427,3116704
2428,3116803
2429,3116902
2430,3117009
2431,3117108
2432,3117207
2433,3117306
2434,3117405
2435,3117504
2436,3117603
2437,3117702
2438,3117801
2439,3117836
2440,3117876
2441,3117900
2442,3118007
2443,3118106
2444,3118205
2445,3118304
2446,3118403
2447,3118502
2448,3118601
2449,3118700
2450,3118809
2451,3118908
2452,3119005
2453,3119104
2454,3119203
2455,3119302
2456,3119401
2457,3119500
2458,3119609
2459,3119708
2460,3119807
2461,3119906
2462,3119955
2463,3120003
2464,3120102
2465,3120151
2466,3120201
2467,3120300
2468,3120409
2469,3120508
2470,3120607
2471,3120706
2472,3120805
2473,3120839
2474,3120870
2475,3120904
2476,3121001
2477,3121100
2478,3121209
2479,3121258
2480,3121308
2481,3121407
2482,3121506
2483,3121605
2484,3121704
2485,3121803
2486,3121902
2487,3122009
2488,3122108
2489,3122207
2490,3122306
2491,3122355
2492,3122405
2493,3122454
2494,3122470
2495,3122504
2496,3122603
2497,3122702
2498,3122801
2499,3122900
2500,3123007
2501,3123106
2502,3123205
2503,3123304
2504,3123403
2505,3123502
2506,3123528
2507,3123601
2508,3123700
2509,3123809
2510,3123858
2511,3123908
2512,3124005
2513,3124104
2514,3124203
2515,3124302
2516,3124401
2517,3124500
2518,3124609
2519,3124708
2520,3124807
2521,3124906
2522,3125002
2523,3125101
2524,3125200
2525,3125309
2526,3125408
2527,3125507
2528,3125606
2529,3125705
2530,3125804
2531,3125903
2532,3125952
2533,3126000
2534,3126109
2535,3126208
2536,3126307
2537,3126406
2538,3126505
2539,3126604
2540,3126703
2541,3126752
2542,3126802
2543,3126901
2544,3126950
2545,3127008
2546,3127057
2547,3127073
2548,3127107
2549,3127206
2550,3127305
2551,3127339
2552,3127354
2553,3127370
2554,3127388
2555,3127404
2556,3127503
2557,3127602
2558,3127701
2559,3127800
2560,3127909
2561,3128006
2562,3128105
2563,3128204
2564,3128253
2565,3128303
2566,3128402
2567,3128501
2568,3128600
2569,3128709
2570,3128808
2571,3128907
2572,3129004
2573,3129103
2574,3129202
2575,3129301
2576,3129400
2577,3129509
2578,3129608
2579,3129657
2580,3129707
2581,3129806
2582,3129905
2583,3130002
2584,3130051
2585,3130101
2586,3130200
2587,3130309
2588,3130408
2589,3130507
2590,3130556
2591,3130606
2592,3130655
2593,3130705
2594,3130804
2595,3130903
2596,3131000
2597,3131109
2598,3131158
2599,3131208
2600,3131307
2601,3131406
2602,3131505
2603,3131604
2604,3131703
2605,3131802
2606,3131901
2607,3132008
2608,3132107
2609,3132206
2610,3132305
2611,3132404
2612,3132503
2613,3132602
2614,3132701
2615,3132800
2616,3132909
2617,3133006
2618,3133105
2619,3133204
2620,3133303
2621,3133402
2622,3133501
2623,3133600
2624,3133709
2625,3133758
2626,3133808
2627,3133907
2628,3134004
2629,3134103
2630,3134202
2631,3134301
2632,3134400
2633,3134509
2634,3134608
2635,3134707
2636,3134806
2637,3134905
2638,3135001
2639,3135050
2640,3135076
2641,3135100
2642,3135209
2643,3135308
2644,3135357
2645,3135407
2646,3135456
2647,3135506
2648,3135605
2649,3135704
2650,3135803
2651,3135902
2652,3136009
2653,3136108
2654,3136207
2655,3136306
2656,3136405
2657,3136504
2658,3136520
2659,3136553
2660,3136579
2661,3136603
2662,3136652
2663,3136702
2664,3136801
2665,3136900
2666,3136959
2667,3137007
2668,3137106
2669,3137205
2670,3137304
2671,3137403
2672,3137502
2673,3137536
2674,3137601
2675,3137700
2676,3137809
2677,3137908
2678,3138005
2679,3138104
2680,3138203
2681,3138302
2682,3138351
2683,3138401
2684,3138500
2685,3138609
2686,3138625
2687,3138658
2688,3138674
2689,3138682
2690,3138708
2691,3138807
2692,3138906
2693,3139003
2694,3139102
2695,3139201
2696,3139250
2697,3139300
2698,3139409
2699,3139508
2700,3139607
2701,3139706
2702,3139805
2703,3139904
2704,3140001
2705,3140100
2706,3140159
2707,3140209
2708,3140308
2709,3140407
2710,3140506
2711,3140530
2712,3140555
2713,3140605
2714,3140704
2715,3140803
2716,3140852
2717,3140902
2718,3141009
2719,3141108
2720,3141207
2721,3141306
2722,3141405
2723,3141504
2724,3141603
2725,3141702
2726,3141801
2727,3141900
2728,3142007
2729,3142106
2730,3142205
2731,3142254
2732,3142304
2733,3142403
2734,3142502
2735,3142601
2736,3142700
2737,3142809
2738,3142908
2739,3143005
2740,3143104
2741,3143153
2742,3143203
2743,3143302
2744,3143401
2745,3143450
2746,3143500
2747,3143609
2748,3143708
2749,3143807
2750,3143906
2751,3144003
2752,3144102
2753,3144201
2754,3144300
2755,3144359
2756,3144375
2757,3144409
2758,3144508
2759,3144607
2760,3144656
2761,3144672
2762,3144706
2763,3144805
2764,3144904
2765,3145000
2766,3145059
2767,3145109
2768,3145208
2769,3145307
2770,3145356
2771,3145372
2772,3145406
2773,3145455
2774,3145505
2775,3145604
2776,3145703
2777,3145802
2778,3145851
2779,3145877
2780,3145901
2781,3146008
2782,3146107
2783,3146206
2784,3146255
2785,3146305
2786,3146404
2787,3146503
2788,3146552
2789,3146602
2790,3146701
2791,3146750
2792,3146909
2793,3147006
2794,3147105
2795,3147204
2796,3147303
2797,3147402
2798,3147501
2799,3147600
2800,3147709
2801,3147808
2802,3147907
2803,3147956
2804,3148004
2805,3148103
2806,3148202
2807,3148301
2808,3148400
2809,3148509
2810,3148608
2811,3148707
2812,3148756
2813,3148806
2814,3148905
2815,3149002
2816,3149101
2817,3149150
2818,3149200
2819,3149309
2820,3149408
2821,3149507
2822,3149606
2823,3149705
2824,3149804
2825,3149903
2826,3149952
2827,3150000
2828,3150109
2829,3150158
2830,3150208
2831,3150307
2832,3150406
2833,3150505
2834,3150539
2835,3150570
2836,3150604
2837,3150703
2838,3150802
2839,3150901
2840,3151008
2841,3151107
2842,3151206
2843,3151305
2844,3151404
2845,3151503
2846,3151602
2847,3151701
2848,3151800
2849,3151909
2850,3152006
2851,3152105
2852,3152131
2853,3152170
2854,3152204
2855,3152303
2856,3152402
2857,3152501
2858,3152600
2859,3152709
2860,3152808
2861,3152907
2862,3153004
2863,3153103
2864,3153202
2865,3153301
2866,3153400
2867,3153509
2868,3153608
2869,3153707
2870,3153806
2871,3153905
2872,3154002
2873,3154101
2874,3154150
2875,3154200
2876,3154309
2877,3154408
2878,3154457
2879,3154507
2880,3154606
2881,3154705
2882,3154804
2883,3154903
2884,3155009
2885,3155108
2886,3155207
2887,3155306
2888,3155405
2889,3155504
2890,3155603
2891,3155702
2892,3155801
2893,3155900
2894,3156007
2895,3156106
2896,3156205
2897,3156304
2898,3156403
2899,3156452
2900,3156502
2901,3156601
2902,3156700
2903,3156809
2904,3156908
2905,3157005
2906,3157104
2907,3157203
2908,3157252
2909,3157278
2910,3157302
2911,3157336
2912,3157377
2913,3157401
2914,3157500
2915,3157609
2916,3157658
2917,3157708
2918,3157807
2919,3157906
2920,3158003
2921,3158102
2922,3158201
2923,3158300
2924,3158409
2925,3158508
2926,3158607
2927,3158706
2928,3158805
2929,3158904
2930,3158953
2931,3159001
2932,3159100
2933,3159209
2934,3159308
2935,3159357
2936,3159407
2937,3159506
2938,3159605
2939,3159704
2940,3159803
2941,3159902
2942,3160009
2943,3160108
2944,3160207
2945,3160306
2946,3160405
2947,3160454
2948,3160504
2949,3160603
2950,3160702
2951,3160801
2952,3160900
2953,3160959
2954,3161007
2955,3161056
2956,3161106
2957,3161205
2958,3161304
2959,3161403
2960,3161502
2961,3161601
2962,3161650
2963,3161700
2964,3161809
2965,3161908
2966,3162005
2967,3162104
2968,3162203
2969,3162252
2970,3162302
2971,3162401
2972,3162450
2973,3162500
2974,3162559
2975,3162575
2976,3162609
2977,3162658
2978,3162708
2979,3162807
2980,3162906
2981,3162922
2982,3162948
2983,3162955
2984,3163003
2985,3163102
2986,3163201
2987,3163300
2988,3163409
2989,3163508
2990,3163607
2991,3163706
2992,3163805
2993,3163904
2994,3164001
2995,3164100
2996,3164209
2997,3164308
2998,3164407
2999,3164431
3000,3164472
3001,3164506
3002,3164605
3003,3164704
3004,3164803
3005,3164902
3006,3165008
3007,3165107
3008,3165206
3009,3165305
3010,3165404
3011,3165503
3012,3165537
3013,3165552
3014,3165560
3015,3165578
3016,3165602
3017,3165701
3018,3165800
3019,3165909
3020,3166006
3021,3166105
3022,3166204
3023,3166303
3024,3166402
3025,3166501
3026,3166600
3027,3166709
3028,3166808
3029,3166907
3030,3166956
3031,3167004
3032,3167103
3033,3167202
3034,3167301
3035,3167400
3036,3167509
3037,3167608
3038,3167707
3039,3167806
3040,3167905
3041,3168002
3042,3168051
3043,3168101
3044,3168200
3045,3168309
3046,3168408
3047,3168507
3048,3168606
3049,3168705
3050,3168804
3051,3168903
3052,3169000
3053,3169059
3054,3169109
3055,3169208
3056,3169307
3057,3169356
3058,3169406
3059,3169505
3060,3169604
3061,3169703
3062,3169802
3063,3169901
3064,3170008
3065,3170057
3066,3170107
3067,3170206
3068,3170305
3069,3170404
3070,3170438
3071,3170479
3072,3170503
3073,3170529
3074,3170578
3075,3170602
3076,3170651
3077,3170701
3078,3170750
3079,3170800
3080,3170909
3081,3171006
3082,3171030
3083,3171071
3084,3171105
3085,3171154
3086,3171204
3087,3171303
3088,3171402
3089,3171501
3090,3171600
3091,3171709
3092,3171808
3093,3171907
3094,3172004
3095,3172103
3096,3172202
3097,3200102
3098,3200136
3099,3200169
3100,3200201
3101,3200300
3102,3200359
3103,3200409
3104,3200508
3105,3200607
3106,3200706
3107,3200805
3108,3200904
3109,3201001
3110,3201100
3111,3201159
3112,3201209
3113,3201308
3114,3201407
3115,3201506
3116,3201605
3117,3201704
3118,3201803
3119,3201902
3120,3202009
3121,3202108
3122,3202207
3123,3202256
3124,3202306
3125,3202405
3126,3202454
3127,3202504
3128,3202553
3129,3202603
3130,3202652
3131,3202702
3132,3202801
3133,3202900
3134,3203007
3135,3203056
3136,3203106
3137,3203130
3138,3203163
3139,3203205
3140,3203304
3141,3203320
3142,3203346
3143,3203353
3144,3203403
3145,3203502
3146,3203601
3147,3203700
3148,3203809
3149,3203908
3150,3204005
3151,3204054
3152,3204104
3153,3204203
3154,3204252
3155,3204302
3156,3204351
3157,3204401
3158,3204500
3159,3204559
3160,3204609
3161,3204658
3162,3204708
3163,3204807
3164,3204906
3165,3204955
3166,3205002
3167,3205010
3168,3205036
3169,3205069
3170,3205101
3171,3205150
3172,3205176
3173,3205200
3174,3205309
3175,3300100
3176,3300159
3177,3300209
3178,3300225
3179,3300233
3180,3300258
3181,3300308
3182,3300407
3183,3300456
3184,3300506
3185,3300605
3186,3300704
3187,3300803
3188,3300902
3189,3300936
3190,3300951
3191,3301009
3192,3301108
3193,3301157
3194,3301207
3195,3301306
3196,3301405
3197,3301504
3198,3301603
3199,3301702
3200,3301801
3201,3301850
3202,3301876
3203,3301900
3204,3302007
3205,3302056
3206,3302106
3207,3302205
3208,3302254
3209,3302270
3210,3302304
3211,3302403
3212,3302452
3213,3302502
3214,3302601
3215,3302700
3216,3302809
3217,3302858
3218,3302908
3219,3303005
3220,3303104
3221,3303203
3222,3303302
3223,3303401
3224,3303500
3225,3303609
3226,3303708
3227,3303807
3228,3303856
3229,3303906
3230,3303955
3231,3304003
3232,3304102
3233,3304110
3234,3304128
3235,3304144
3236,3304151
3237,3304201
3238,3304300
3239,3304409
3240,3304508
3241,3304524
3242,3304557
3243,3304607
3244,3304706
3245,3304755
3246,3304805
3247,3304904
3248,3305000
3249,3305109
3250,3305133
3251,3305158
3252,3305208
3253,3305307
3254,3305406
3255,3305505
3256,3305554
3257,3305604
3258,3305703
3259,3305752
3260,3305802
3261,3305901
3262,3306008
3263,3306107
3264,3306156
3265,3306206
3266,3306305
3267,3500105
3268,3500204
3269,3500303
3270,3500402
3271,3500501
3272,3500550
3273,3500600
3274,3500709
3275,3500758
3276,3500808
3277,3500907
3278,3501004
3279,3501103
3280,3501152
3281,3501202
3282,3501301
3283,3501400
3284,3501509
3285,3501608
3286,3501707
3287,3501806
3288,3501905
3289,3502002
3290,3502101
3291,3502200
3292,3502309
3293,3502408
3294,3502507
3295,3502606
3296,3502705
3297,3502754
3298,3502804
3299,3502903
3300,3503000
3301,3503109
3302,3503158
3303,3503208
3304,3503307
3305,3503356
3306,3503406
3307,3503505
3308,3503604
3309,3503703
3310,3503802
3311,3503901
3312,3503950
3313,3504008
3314,3504107
3315,3504206
3316,3504305
3317,3504404
3318,3504503
3319,3504602
3320,3504701
3321,3504800
3322,3504909
3323,3505005
3324,3505104
3325,3505203
3326,3505302
3327,3505351
3328,3505401
3329,3505500
3330,3505609
3331,3505708
3332,3505807
3333,3505906
3334,3506003
3335,3506102
3336,3506201
3337,3506300
3338,3506359
3339,3506409
3340,3506508
3341,3506607
3342,3506706
3343,3506805
3344,3506904
3345,3507001
3346,3507100
3347,3507159
3348,3507209
3349,3507308
3350,3507407
3351,3507456
3352,3507506
3353,3507605
3354,3507704
3355,3507753
3356,3507803
3357,3507902
3358,3508009
3359,3508108
3360,3508207
3361,3508306
3362,3508405
3363,3508504
3364,3508603
3365,3508702
3366,3508801
3367,3508900
3368,3509007
3369,3509106
3370,3509205
3371,3509254
3372,3509304
3373,3509403
3374,3509452
3375,3509502
3376,3509601
3377,3509700
3378,3509809
3379,3509908
3380,3509957
3381,3510005
3382,3510104
3383,3510153
3384,3510203
3385,3510302
3386,3510401
3387,3510500
3388,3510609
3389,3510708
3390,3510807
3391,3510906
3392,3511003
3393,3511102
3394,3511201
3395,3511300
3396,3511409
3397,3511508
3398,3511607
3399,3511706
3400,3511904
3401,3512001
3402,3512100
3403,3512209
3404,3512308
3405,3512407
3406,3512506
3407,3512605
3408,3512704
3409,3512803
3410,3512902
3411,3513009
3412,3513108
3413,3513207
3414,3513306
3415,3513405
3416,3513504
3417,3513603
3418,3513702
3419,3513801
3420,3513850
3421,3513900
3422,3514007
3423,3514106
3424,3514205
3425,3514304
3426,3514403
3427,3514502
3428,3514601
3429,3514700
3430,3514809
3431,3514908
3432,3514924
3433,3514957
3434,3515004
3435,3515103
3436,3515129
3437,3515152
3438,3515186
3439,3515194
3440,3515202
3441,3515301
3442,3515350
3443,3515400
3444,3515509
3445,3515608
3446,3515657
3447,3515707
3448,3515806
3449,3515905
3450,3516002
3451,3516101
3452,3516200
3453,3516309
3454,3516408
3455,3516507
3456,3516606
3457,3516705
3458,3516804
3459,3516853
3460,3516903
3461,3517000
3462,3517109
3463,3517208
3464,3517307
3465,3517406
3466,3517505
3467,3517604
3468,3517703
3469,3517802
3470,3517901
3471,3518008
3472,3518107
3473,3518206
3474,3518305
3475,3518404
3476,3518503
3477,3518602
3478,3518701
3479,3518800
3480,3518859
3481,3518909
3482,3519006
3483,3519055
3484,3519071
3485,3519105
3486,3519204
3487,3519253
3488,3519303
3489,3519402
3490,3519501
3491,3519600
3492,3519709
3493,3519808
3494,3519907
3495,3520004
3496,3520103
3497,3520202
3498,3520301
3499,3520400
3500,3520426
3501,3520442
3502,3520509
3503,3520608
3504,3520707
3505,3520806
3506,3520905
3507,3521002
3508,3521101
3509,3521150
3510,3521200
3511,3521309
3512,3521408
3513,3521507
3514,3521606
3515,3521705
3516,3521804
3517,3521903
3518,3522000
3519,3522109
3520,3522158
3521,3522208
3522,3522307
3523,3522406
3524,3522505
3525,3522604
3526,3522653
3527,3522703
3528,3522802
3529,3522901
3530,3523008
3531,3523107
3532,3523206
3533,3523305
3534,3523404
3535,3523503
3536,3523602
3537,3523701
3538,3523800
3539,3523909
3540,3524006
3541,3524105
3542,3524204
3543,3524303
3544,3524402
3545,3524501
3546,3524600
3547,3524709
3548,3524808
3549,3524907
3550,3525003
3551,3525102
3552,3525201
3553,3525300
3554,3525409
3555,3525508
3556,3525607
3557,3525706
3558,3525805
3559,3525854
3560,3525904
3561,3526001
3562,3526100
3563,3526209
3564,3526308
3565,3526407
3566,3526506
3567,3526605
3568,3526704
3569,3526803
3570,3526902
3571,3527009
3572,3527108
3573,3527207
3574,3527256
3575,3527306
3576,3527405
3577,3527504
3578,3527603
3579,3527702
3580,3527801
3581,3527900
3582,3528007
3583,3528106
3584,3528205
3585,3528304
3586,3528403
3587,3528502
3588,3528601
3589,3528700
3590,3528809
3591,3528858
3592,3528908
3593,3529005
3594,3529104
3595,3529203
3596,3529302
3597,3529401
3598,3529500
3599,3529609
3600,3529658
3601,3529708
3602,3529807
3603,3529906
3604,3530003
3605,3530102
3606,3530201
3607,3530300
3608,3530409
3609,3530508
3610,3530607
3611,3530706
3612,3530805
3613,3530904
3614,3531001
3615,3531100
3616,3531209
3617,3531308
3618,3531407
3619,3531506
3620,3531605
3621,3531704
3622,3531803
3623,3531902
3624,3532009
3625,3532058
3626,3532108
3627,3532157
3628,3532207
3629,3532306
3630,3532405
3631,3532504
3632,3532603
3633,3532702
3634,3532801
3635,3532827
3636,3532843
3637,3532868
3638,3532900
3639,3533007
3640,3533106
3641,3533205
3642,3533254
3643,3533304
3644,3533403
3645,3533502
3646,3533601
3647,3533700
3648,3533809
3649,3533908
3650,3534005
3651,3534104
3652,3534203
3653,3534302
3654,3534401
3655,3534500
3656,3534609
3657,3534708
3658,3534757
3659,3534807
3660,3534906
3661,3535002
3662,3535101
3663,3535200
3664,3535309
3665,3535408
3666,3535507
3667,3535606
3668,3535705
3669,3535804
3670,3535903
3671,3536000
3672,3536109
3673,3536208
3674,3536257
3675,3536307
3676,3536406
3677,3536505
3678,3536570
3679,3536604
3680,3536703
3681,3536802
3682,3536901
3683,3537008
3684,3537107
3685,3537156
3686,3537206
3687,3537305
3688,3537404
3689,3537503
3690,3537602
3691,3537701
3692,3537800
3693,3537909
3694,3538006
3695,3538105
3696,3538204
3697,3538303
3698,3538501
3699,3538600
3700,3538709
3701,3538808
3702,3538907
3703,3539004
3704,3539103
3705,3539202
3706,3539301
3707,3539400
3708,3539509
3709,3539608
3710,3539707
3711,3539806
3712,3539905
3713,3540002
3714,3540101
3715,3540200
3716,3540259
3717,3540309
3718,3540408
3719,3540507
3720,3540606
3721,3540705
3722,3540754
3723,3540804
3724,3540853
3725,3540903
3726,3541000
3727,3541059
3728,3541109
3729,3541208
3730,3541307
3731,3541406
3732,3541505
3733,3541604
3734,3541653
3735,3541703
3736,3541802
3737,3541901
3738,3542008
3739,3542107
3740,3542206
